Date,Port,ticker,shares
01/28/2026,US_live_port,FISV,-609
01/28/2026,US_live_port,UPBD,7598
01/28/2026,US_live_port,BOKF,-26
01/28/2026,US_live_port,EQH,12334
01/28/2026,US_live_port,TRGP,-406
01/28/2026,US_live_port,NLY,-19592
01/28/2026,US_live_port,AGYS,-230
01/28/2026,US_live_port,UNP,1621
01/28/2026,US_live_port,COR,-553
01/28/2026,US_live_port,TALO,4393
01/28/2026,US_live_port,BBWI,11836
01/28/2026,US_live_port,MATW,-99
01/28/2026,US_live_port,NXST,-1139
01/28/2026,US_live_port,REGN,553
01/28/2026,US_live_port,TCBI,449
01/28/2026,US_live_port,PARR,34
01/28/2026,US_live_port,ERIE,-270
01/28/2026,US_live_port,NEXA,-21987
01/28/2026,US_live_port,CTMX,-11221
01/28/2026,US_live_port,SCHW,2987
01/28/2026,US_live_port,MSTR,775
01/28/2026,US_live_port,AOS,-544
01/28/2026,US_live_port,RAMP,1097
01/28/2026,US_live_port,SIG,-20
01/28/2026,US_live_port,ANGO,2334
01/28/2026,US_live_port,RL,14
01/28/2026,US_live_port,MOD,428
01/28/2026,US_live_port,WK,1991
01/28/2026,US_live_port,ATEX,2874
01/28/2026,US_live_port,DCO,1245
01/28/2026,US_live_port,VCYT,624
01/28/2026,US_live_port,OMF,4648
01/28/2026,US_live_port,ETSY,2262
01/28/2026,US_live_port,JJSF,-2622
01/28/2026,US_live_port,EBS,4357
01/28/2026,US_live_port,MP,-180
01/28/2026,US_live_port,PRMB,-8847
01/28/2026,US_live_port,CPB,-1286
01/28/2026,US_live_port,MXL,-1309
01/28/2026,US_live_port,EBC,-849
01/28/2026,US_live_port,BH/A,-164
01/28/2026,US_live_port,PRAA,-16544
01/28/2026,US_live_port,EL,2373
01/28/2026,US_live_port,SENEA,23
01/28/2026,US_live_port,WPC,-8048
01/28/2026,US_live_port,GLNG,3072
01/28/2026,US_live_port,CFR,-1044
01/28/2026,US_live_port,SCSC,-1221
01/28/2026,US_live_port,THR,-1389
01/28/2026,US_live_port,RITM,3251
01/28/2026,US_live_port,ACIW,2559
01/28/2026,US_live_port,VITL,3661
01/28/2026,US_live_port,META,-11
01/28/2026,US_live_port,RXO,-223
01/28/2026,US_live_port,ACHC,-92
01/28/2026,US_live_port,SEI,735
01/28/2026,US_live_port,TPH,2673
01/28/2026,US_live_port,NE,3994
01/28/2026,US_live_port,AGIO,1021
01/28/2026,US_live_port,SABR,-6925
01/28/2026,US_live_port,PINS,6033
01/28/2026,US_live_port,AVNS,-270
01/28/2026,US_live_port,BLMN,14979
01/28/2026,US_live_port,NOVT,1430
01/28/2026,US_live_port,EEFT,2013
01/28/2026,US_live_port,LZB,-92
01/28/2026,US_live_port,TPL,-303
01/28/2026,US_live_port,MCS,-8492
01/28/2026,US_live_port,LVS,1881
01/28/2026,US_live_port,JAZZ,1653
01/28/2026,US_live_port,WBS,3221
01/28/2026,US_live_port,OVV,-7854
01/28/2026,US_live_port,HFWA,-14512
01/28/2026,US_live_port,LGND,369
01/28/2026,US_live_port,INSM,7
01/28/2026,US_live_port,PRU,337
01/28/2026,US_live_port,PLPC,-147
01/28/2026,US_live_port,MO,7810
01/28/2026,US_live_port,BLFS,-235
01/28/2026,US_live_port,NX,5265
01/28/2026,US_live_port,NFLX,-3503
01/28/2026,US_live_port,LMT,-158
01/28/2026,US_live_port,MUSA,887
01/28/2026,US_live_port,PCRX,3682
01/28/2026,US_live_port,WGS,-2284
01/28/2026,US_live_port,GPC,1901
01/28/2026,US_live_port,SMTC,-1117
01/28/2026,US_live_port,FMBH,-8768
01/28/2026,US_live_port,KBR,-4962
01/28/2026,US_live_port,RSI,116
01/28/2026,US_live_port,GOGO,-30773
01/28/2026,US_live_port,HUBS,1349
01/28/2026,US_live_port,A,-1087
01/28/2026,US_live_port,ACGL,-2500
01/28/2026,US_live_port,UNIT,-3259
01/28/2026,US_live_port,FIS,5997
01/28/2026,US_live_port,VLY,-5365
01/28/2026,US_live_port,FHN,14324
01/28/2026,US_live_port,OMER,-2654
01/28/2026,US_live_port,EVEX,-16470
01/28/2026,US_live_port,TBBK,920
01/28/2026,US_live_port,TMHC,177
01/28/2026,US_live_port,FG,3801
01/28/2026,US_live_port,APEI,240
01/28/2026,US_live_port,NOV,-5368
01/28/2026,US_live_port,PCOR,5751
01/28/2026,US_live_port,CCOI,5573
01/28/2026,US_live_port,OSIS,415
01/28/2026,US_live_port,MCO,-1101
01/28/2026,US_live_port,EPRT,1836
01/28/2026,US_live_port,CACC,-5
01/28/2026,US_live_port,LYV,724
01/28/2026,US_live_port,CLH,-1967
01/28/2026,US_live_port,SB,-14634
01/28/2026,US_live_port,GSIT,3572
01/28/2026,US_live_port,MTUS,238
01/28/2026,US_live_port,BKR,4650
01/28/2026,US_live_port,UPS,-5004
01/28/2026,US_live_port,WDFC,-94
01/28/2026,US_live_port,AVPT,5338
01/28/2026,US_live_port,SNAP,32095
01/28/2026,US_live_port,QCOM,3332
01/28/2026,US_live_port,ROST,-1011
01/28/2026,US_live_port,PNR,-5819
01/28/2026,US_live_port,LOB,-2925
01/28/2026,US_live_port,LFST,5879
01/28/2026,US_live_port,WEC,-687
01/28/2026,US_live_port,ALB,2689
01/28/2026,US_live_port,PNFP,5522
01/28/2026,US_live_port,GCMG,6850
01/28/2026,US_live_port,CALY,13499
01/28/2026,US_live_port,OMCL,4433
01/28/2026,US_live_port,MOH,210
01/28/2026,US_live_port,BGS,-2544
01/28/2026,US_live_port,JXN,43
01/28/2026,US_live_port,GTLB,-432
01/28/2026,US_live_port,MAR,391
01/28/2026,US_live_port,ILMN,-187
01/28/2026,US_live_port,EGY,-4024
01/28/2026,US_live_port,NNN,-3893
01/28/2026,US_live_port,TROX,5212
01/28/2026,US_live_port,PLXS,1367
01/28/2026,US_live_port,SM,8114
01/28/2026,US_live_port,SLGN,-66
01/28/2026,US_live_port,HAE,95
01/28/2026,US_live_port,TXRH,-2521
01/28/2026,US_live_port,WD,607
01/28/2026,US_live_port,PR,-37273
01/28/2026,US_live_port,CYD,-1794
01/28/2026,US_live_port,KRO,31099
01/28/2026,US_live_port,TEX,-197
01/28/2026,US_live_port,PTCT,11
01/28/2026,US_live_port,MWA,3501
01/28/2026,US_live_port,RMD,-2154
01/28/2026,US_live_port,CC,-3750
01/28/2026,US_live_port,HIMS,-1454
01/28/2026,US_live_port,VSAT,-1672
01/28/2026,US_live_port,ACI,-1089
01/28/2026,US_live_port,MNKD,-12943
01/28/2026,US_live_port,CNM,-3664
01/28/2026,US_live_port,BHVN,-52
01/28/2026,US_live_port,AMBA,-3306
01/28/2026,US_live_port,BPOP,-660
01/28/2026,US_live_port,RLJ,-3731
01/28/2026,US_live_port,SPB,104
01/28/2026,US_live_port,CTO,854
01/28/2026,US_live_port,BKNG,92
01/28/2026,US_live_port,TNET,4629
01/28/2026,US_live_port,EQR,5451
01/28/2026,US_live_port,CRWD,-796
01/28/2026,US_live_port,SLNO,-850
01/28/2026,US_live_port,DXC,13870
01/28/2026,US_live_port,CPF,-10357
01/28/2026,US_live_port,ADNT,-3876
01/28/2026,US_live_port,SPNT,80
01/28/2026,US_live_port,MEDP,-92
01/28/2026,US_live_port,IESC,-186
01/28/2026,US_live_port,MGRC,-1253
01/28/2026,US_live_port,ZTS,945
01/28/2026,US_live_port,IMAX,2949
01/28/2026,US_live_port,SFNC,12669
01/28/2026,US_live_port,ATRC,1256
01/28/2026,US_live_port,EQBK,-316
01/28/2026,US_live_port,NN,-12261
01/28/2026,US_live_port,AWK,1116
01/28/2026,US_live_port,AROC,15857
01/28/2026,US_live_port,PODD,420
01/28/2026,US_live_port,REPL,-4356
01/28/2026,US_live_port,ASIX,-9807
01/28/2026,US_live_port,HOV,503
01/28/2026,US_live_port,COIN,-1262
01/28/2026,US_live_port,HCSG,208
01/28/2026,US_live_port,COLB,-511
01/28/2026,US_live_port,UTHR,277
01/28/2026,US_live_port,HTZ,4566
01/28/2026,US_live_port,XNCR,6069
01/28/2026,US_live_port,ACLX,5033
01/28/2026,US_live_port,LAND,-177
01/28/2026,US_live_port,FELE,-605
01/28/2026,US_live_port,BSY,-7347
01/28/2026,US_live_port,AX,-2814
01/28/2026,US_live_port,DCI,-1457
01/28/2026,US_live_port,AEIS,702
01/28/2026,US_live_port,GOLF,-1311
01/28/2026,US_live_port,ICLR,-1470
01/28/2026,US_live_port,MPWR,-617
01/28/2026,US_live_port,NVST,-13126
01/28/2026,US_live_port,BANF,-27
01/28/2026,US_live_port,CENX,26
01/28/2026,US_live_port,CPAY,-1041
01/28/2026,US_live_port,RGTI,-1628
01/28/2026,US_live_port,FAST,7086
01/28/2026,US_live_port,MU,333
01/28/2026,US_live_port,YETI,-1251
01/28/2026,US_live_port,SBLK,17997
01/28/2026,US_live_port,NOC,-1038
01/28/2026,US_live_port,HNI,-345
01/28/2026,US_live_port,FSLR,764
01/28/2026,US_live_port,TDW,-1212
01/28/2026,US_live_port,HLX,1499
01/28/2026,US_live_port,YUM,2793
01/28/2026,US_live_port,POR,103
01/28/2026,US_live_port,DAVE,3
01/28/2026,US_live_port,ORC,-2474
01/28/2026,US_live_port,LASR,34
01/28/2026,US_live_port,ATKR,583
01/28/2026,US_live_port,BWA,3692
01/28/2026,US_live_port,KFY,504
01/28/2026,US_live_port,ED,-2701
01/28/2026,US_live_port,CF,-1294
01/28/2026,US_live_port,FHI,3256
01/28/2026,US_live_port,AXON,343
01/28/2026,US_live_port,TPB,-2715
01/28/2026,US_live_port,BFH,900
01/28/2026,US_live_port,IART,1442
01/28/2026,US_live_port,ABCB,-1974
01/28/2026,US_live_port,GIS,1325
01/28/2026,US_live_port,ON,-3252
01/28/2026,US_live_port,MDB,-891
01/28/2026,US_live_port,HSTM,-263
01/28/2026,US_live_port,AME,422
01/28/2026,US_live_port,OGE,3898
01/28/2026,US_live_port,MDLZ,-8205
01/28/2026,US_live_port,ENSG,235
01/28/2026,US_live_port,USPH,-36
01/28/2026,US_live_port,VNO,-5269
01/28/2026,US_live_port,CME,-1464
01/28/2026,US_live_port,CAR,-6
01/28/2026,US_live_port,AXP,950
01/28/2026,US_live_port,SNA,-248
01/28/2026,US_live_port,GOOG,-523
01/28/2026,US_live_port,PTGX,11
01/28/2026,US_live_port,CLB,-7993
01/28/2026,US_live_port,GD,906
01/28/2026,US_live_port,PEP,-3104
01/28/2026,US_live_port,JACK,-60
01/28/2026,US_live_port,VISN,-6887
01/28/2026,US_live_port,TNL,741
01/28/2026,US_live_port,GSAT,-623
01/28/2026,US_live_port,RPM,-1172
01/28/2026,US_live_port,MSFT,-365
01/28/2026,US_live_port,ROIV,10086
01/28/2026,US_live_port,SYF,-6050
01/28/2026,US_live_port,PFS,-4163
01/28/2026,US_live_port,USNA,6126
01/28/2026,US_live_port,ALV,2088
01/28/2026,US_live_port,BLDR,605
01/28/2026,US_live_port,PLD,491
01/28/2026,US_live_port,VICI,-5334
01/28/2026,US_live_port,CPT,2037
01/28/2026,US_live_port,FHB,-2865
01/28/2026,US_live_port,BCO,1475
01/28/2026,US_live_port,SF,4255
01/28/2026,US_live_port,FDS,-910
01/28/2026,US_live_port,ADBE,1294
01/28/2026,US_live_port,EYE,-77
01/28/2026,US_live_port,ADM,75
01/28/2026,US_live_port,FCF,-9764
01/28/2026,US_live_port,LUMN,3378
01/28/2026,US_live_port,FRT,3136
01/28/2026,US_live_port,RGEN,-1082
01/28/2026,US_live_port,ADT,-12949
01/28/2026,US_live_port,TEAM,-71
01/28/2026,US_live_port,BCPC,-1582
01/28/2026,US_live_port,SHW,-762
01/28/2026,US_live_port,TXT,5172
01/28/2026,US_live_port,KNSL,-83
01/28/2026,US_live_port,SYBT,1570
01/28/2026,US_live_port,CAG,1708
01/28/2026,US_live_port,BY,-8236
01/28/2026,US_live_port,VVV,-856
01/28/2026,US_live_port,REZI,158
01/28/2026,US_live_port,CECO,-2246
01/28/2026,US_live_port,HOPE,8443
01/28/2026,US_live_port,FLG,19503
01/28/2026,US_live_port,KNSA,42
01/28/2026,US_live_port,FTDR,-1162
01/28/2026,US_live_port,FANG,-1341
01/28/2026,US_live_port,AGX,229
01/28/2026,US_live_port,SNDX,6936
01/28/2026,US_live_port,PJT,-1219
01/28/2026,US_live_port,MBWM,-1420
01/28/2026,US_live_port,ECPG,905
01/28/2026,US_live_port,JKHY,650
01/28/2026,US_live_port,GPK,-137
01/28/2026,US_live_port,TPG,-6416
01/28/2026,US_live_port,XPRO,78
01/28/2026,US_live_port,UMH,11355
01/28/2026,US_live_port,MKC,6181
01/28/2026,US_live_port,CRM,2312
01/28/2026,US_live_port,AMSF,4553
01/28/2026,US_live_port,HOMB,5048
01/28/2026,US_live_port,AMRC,-8229
01/28/2026,US_live_port,KEYS,-1751
01/28/2026,US_live_port,BRBR,-56
01/28/2026,US_live_port,WMT,628
01/28/2026,US_live_port,VLO,1125
01/28/2026,US_live_port,KRG,3603
01/28/2026,US_live_port,DKNG,4111
01/28/2026,US_live_port,HHH,1067
01/28/2026,US_live_port,TCMD,-4683
01/28/2026,US_live_port,PEG,-2774
01/28/2026,US_live_port,COKE,1521
01/28/2026,US_live_port,HD,-1605
01/28/2026,US_live_port,OFIX,741
01/28/2026,US_live_port,CVI,2702
01/28/2026,US_live_port,MSA,-1132
01/28/2026,US_live_port,KOP,-908
01/28/2026,US_live_port,SOFI,-1802
01/28/2026,US_live_port,CRVL,-42
01/28/2026,US_live_port,LULU,-656
01/28/2026,US_live_port,RS,-1484
01/28/2026,US_live_port,VC,-2584
01/28/2026,US_live_port,ARLO,3164
01/28/2026,US_live_port,PTEN,-6965
01/28/2026,US_live_port,MCD,2212
01/28/2026,US_live_port,ITGR,-514
01/28/2026,US_live_port,MRVL,3812
01/28/2026,US_live_port,HIG,-1690
01/28/2026,US_live_port,SLAB,-1553
01/28/2026,US_live_port,HAFC,-2131
01/28/2026,US_live_port,DKS,-21
01/28/2026,US_live_port,WGO,635
01/28/2026,US_live_port,ASB,1862
01/28/2026,US_live_port,VYX,-2763
01/28/2026,US_live_port,INTA,-4540
01/28/2026,US_live_port,NEO,-2214
01/28/2026,US_live_port,SNDR,-6791
01/28/2026,US_live_port,MC,-2155
01/28/2026,US_live_port,AKBA,39030
01/28/2026,US_live_port,CACI,52
01/28/2026,US_live_port,HY,7868
01/28/2026,US_live_port,CCNE,-4337
01/28/2026,US_live_port,ATEC,9509
01/28/2026,US_live_port,GPRO,-2845
01/28/2026,US_live_port,HPE,12147
01/28/2026,US_live_port,TWST,-144
01/28/2026,US_live_port,INDB,-1007
01/28/2026,US_live_port,YORW,-156
01/28/2026,US_live_port,BE,-569
01/28/2026,US_live_port,RIVN,1759
01/28/2026,US_live_port,SIGA,-144
01/28/2026,US_live_port,ACLS,-21
01/28/2026,US_live_port,CUZ,-13841
01/28/2026,US_live_port,SNX,999
01/28/2026,US_live_port,PFG,-4546
01/28/2026,US_live_port,KLAC,-62
01/28/2026,US_live_port,IPGP,-38
01/28/2026,US_live_port,CENTA,112
01/28/2026,US_live_port,CMP,-722
01/28/2026,US_live_port,TRS,5636
01/28/2026,US_live_port,TOST,1027
01/28/2026,US_live_port,LRN,-7
01/28/2026,US_live_port,NBHC,-458
01/28/2026,US_live_port,LTC,-11188
01/28/2026,US_live_port,ALK,666
01/28/2026,US_live_port,MTW,-7169
01/28/2026,US_live_port,BAP,1435
01/28/2026,US_live_port,RRR,6376
01/28/2026,US_live_port,SBRA,5191
01/28/2026,US_live_port,CPRI,2373
01/28/2026,US_live_port,BMI,-69
01/28/2026,US_live_port,LBRT,-1621
01/28/2026,US_live_port,SSD,-18
01/28/2026,US_live_port,SPOT,876
01/28/2026,US_live_port,PRVA,3419
01/28/2026,US_live_port,PB,-948
01/28/2026,US_live_port,PSN,-24
01/28/2026,US_live_port,WEN,34021
01/28/2026,US_live_port,BKH,61
01/28/2026,US_live_port,CLFD,3895
01/28/2026,US_live_port,YOU,681
01/28/2026,US_live_port,FA,-1329
01/28/2026,US_live_port,AKR,-1101
01/28/2026,US_live_port,COLM,-4116
01/28/2026,US_live_port,ANDE,348
01/28/2026,US_live_port,ROP,-237
01/28/2026,US_live_port,INVX,-209
01/28/2026,US_live_port,DBI,1135
01/28/2026,US_live_port,BFS,3917
01/28/2026,US_live_port,APLE,-4190
01/28/2026,US_live_port,WSC,4160
01/28/2026,US_live_port,ECVT,-2394
01/28/2026,US_live_port,REXR,-3160
01/28/2026,US_live_port,FUN,-11102
01/28/2026,US_live_port,EW,9027
01/28/2026,US_live_port,SNOW,-460
01/28/2026,US_live_port,RIGL,69
01/28/2026,US_live_port,WELL,1056
01/28/2026,US_live_port,STBA,-713
01/28/2026,US_live_port,SHOO,199
01/28/2026,US_live_port,NWPX,1283
01/28/2026,US_live_port,WTFC,-3477
01/28/2026,US_live_port,MMYT,-916
01/28/2026,US_live_port,LKQ,2048
01/28/2026,US_live_port,BANC,1258
01/28/2026,US_live_port,PMT,-4918
01/28/2026,US_live_port,JOE,457
01/28/2026,US_live_port,CYRX,-811
01/28/2026,US_live_port,AER,3087
01/28/2026,US_live_port,UBSI,-6931
01/28/2026,US_live_port,EPR,-3421
01/28/2026,US_live_port,ELS,-5817
01/28/2026,US_live_port,HLNE,-728
01/28/2026,US_live_port,APAM,-88
01/28/2026,US_live_port,WVE,4994
01/28/2026,US_live_port,BWXT,-409
01/28/2026,US_live_port,FBK,-4572
01/28/2026,US_live_port,WABC,7178
01/28/2026,US_live_port,NSIT,-902
01/28/2026,US_live_port,WINA,-10
01/28/2026,US_live_port,JCI,2710
01/28/2026,US_live_port,WFC,-3207
01/28/2026,US_live_port,DE,-387
01/28/2026,US_live_port,AYI,194
01/28/2026,US_live_port,CCC,-15450
01/28/2026,US_live_port,HIFS,285
01/28/2026,US_live_port,AXSM,981
01/28/2026,US_live_port,SBAC,-551
01/28/2026,US_live_port,BSX,-376
01/28/2026,US_live_port,RHI,-72
01/28/2026,US_live_port,LAB,-2922
01/28/2026,US_live_port,TRV,993
01/28/2026,US_live_port,MIDD,-1804
01/28/2026,US_live_port,EZPW,2853
01/28/2026,US_live_port,CMC,2705
01/28/2026,US_live_port,HTH,-3234
01/28/2026,US_live_port,WMB,-1360
01/28/2026,US_live_port,LNN,444
01/28/2026,US_live_port,CCK,-2283
01/28/2026,US_live_port,ENVX,7825
01/28/2026,US_live_port,EVCM,-730
01/28/2026,US_live_port,APO,-367
01/28/2026,US_live_port,REX,1379
