Date,Port,ticker,shares
01/29/2026,long_positions,UPBD,7799
01/29/2026,long_positions,BOKF,2934
01/29/2026,long_positions,EQH,13760
01/29/2026,long_positions,TRGP,15
01/29/2026,long_positions,NLY,70
01/29/2026,long_positions,TALO,3435
01/29/2026,long_positions,BBWI,14352
01/29/2026,long_positions,REGN,479
01/29/2026,long_positions,TCBI,182
01/29/2026,long_positions,PARR,14
01/29/2026,long_positions,NEXA,57
01/29/2026,long_positions,SCHW,4257
01/29/2026,long_positions,RAMP,946
01/29/2026,long_positions,ANGO,6137
01/29/2026,long_positions,RL,185
01/29/2026,long_positions,WK,1035
01/29/2026,long_positions,ATEX,2945
01/29/2026,long_positions,DCO,2000
01/29/2026,long_positions,VCYT,400
01/29/2026,long_positions,OMF,7966
01/29/2026,long_positions,ETSY,1083
01/29/2026,long_positions,EL,2970
01/29/2026,long_positions,SENEA,82
01/29/2026,long_positions,GLNG,2050
01/29/2026,long_positions,ACIW,4968
01/29/2026,long_positions,TPH,4014
01/29/2026,long_positions,NE,5331
01/29/2026,long_positions,AGIO,876
01/29/2026,long_positions,PINS,2454
01/29/2026,long_positions,BLMN,23448
01/29/2026,long_positions,NOVT,1249
01/29/2026,long_positions,EEFT,1274
01/29/2026,long_positions,JAZZ,1074
01/29/2026,long_positions,WBS,2946
01/29/2026,long_positions,HFWA,500
01/29/2026,long_positions,LGND,288
01/29/2026,long_positions,INSM,2
01/29/2026,long_positions,MO,4587
01/29/2026,long_positions,NX,4824
01/29/2026,long_positions,MUSA,633
01/29/2026,long_positions,PCRX,2965
01/29/2026,long_positions,GPC,2059
01/29/2026,long_positions,FMBH,709
01/29/2026,long_positions,HUBS,845
01/29/2026,long_positions,FIS,10039
01/29/2026,long_positions,FHN,14959
01/29/2026,long_positions,TMHC,124
01/29/2026,long_positions,PCOR,3989
01/29/2026,long_positions,CCOI,3821
01/29/2026,long_positions,OSIS,427
01/29/2026,long_positions,EPRT,5455
01/29/2026,long_positions,CACC,707
01/29/2026,long_positions,LYV,1064
01/29/2026,long_positions,GSIT,6227
01/29/2026,long_positions,MTUS,276
01/29/2026,long_positions,AVPT,5354
01/29/2026,long_positions,SNAP,39455
01/29/2026,long_positions,QCOM,3704
01/29/2026,long_positions,LFST,8022
01/29/2026,long_positions,ALB,2326
01/29/2026,long_positions,PNFP,5333
01/29/2026,long_positions,GCMG,16194
01/29/2026,long_positions,CALY,6716
01/29/2026,long_positions,OMCL,2417
01/29/2026,long_positions,MOH,528
01/29/2026,long_positions,MAR,266
01/29/2026,long_positions,TROX,16159
01/29/2026,long_positions,PLXS,786
01/29/2026,long_positions,HAE,854
01/29/2026,long_positions,WD,849
01/29/2026,long_positions,KRO,18021
01/29/2026,long_positions,PTCT,5
01/29/2026,long_positions,MWA,2909
01/29/2026,long_positions,VSAT,25
01/29/2026,long_positions,CNM,1586
01/29/2026,long_positions,BPOP,828
01/29/2026,long_positions,SPB,119
01/29/2026,long_positions,CTO,955
01/29/2026,long_positions,BKNG,112
01/29/2026,long_positions,TNET,3257
01/29/2026,long_positions,EQR,3707
01/29/2026,long_positions,DXC,15419
01/29/2026,long_positions,SPNT,592
01/29/2026,long_positions,IESC,49
01/29/2026,long_positions,ZTS,1557
01/29/2026,long_positions,IMAX,3248
01/29/2026,long_positions,SFNC,15425
01/29/2026,long_positions,ATRC,2890
01/29/2026,long_positions,EQBK,742
01/29/2026,long_positions,AROC,15805
01/29/2026,long_positions,PODD,332
01/29/2026,long_positions,HOV,507
01/29/2026,long_positions,HCSG,1198
01/29/2026,long_positions,UTHR,245
01/29/2026,long_positions,XNCR,4643
01/29/2026,long_positions,ACLX,3539
01/29/2026,long_positions,AEIS,825
01/29/2026,long_positions,CENX,21
01/29/2026,long_positions,MU,482
01/29/2026,long_positions,SBLK,13669
01/29/2026,long_positions,FSLR,1596
01/29/2026,long_positions,HLX,511
01/29/2026,long_positions,POR,715
01/29/2026,long_positions,DAVE,2
01/29/2026,long_positions,ATKR,2070
01/29/2026,long_positions,BWA,2709
01/29/2026,long_positions,KFY,956
01/29/2026,long_positions,FHI,2289
01/29/2026,long_positions,AXON,160
01/29/2026,long_positions,BFH,1788
01/29/2026,long_positions,IART,1265
01/29/2026,long_positions,OGE,5352
01/29/2026,long_positions,ENSG,108
01/29/2026,long_positions,AXP,1016
01/29/2026,long_positions,PTGX,8
01/29/2026,long_positions,GD,757
01/29/2026,long_positions,TNL,833
01/29/2026,long_positions,GSAT,949
01/29/2026,long_positions,ROIV,4529
01/29/2026,long_positions,PFS,1836
01/29/2026,long_positions,USNA,8488
01/29/2026,long_positions,ALV,2182
01/29/2026,long_positions,PLD,947
01/29/2026,long_positions,VICI,1393
01/29/2026,long_positions,CPT,1990
01/29/2026,long_positions,BCO,1151
