Date,Port,ticker,shares
02/02/2026,short_positions,FISV,-2157
02/02/2026,short_positions,NLY,-25661
02/02/2026,short_positions,AGYS,-73
02/02/2026,short_positions,UNP,-683
02/02/2026,short_positions,COR,-240
02/02/2026,short_positions,BBWI,-38
02/02/2026,short_positions,MATW,-278
02/02/2026,short_positions,NXST,-1834
02/02/2026,short_positions,TCBI,-1463
02/02/2026,short_positions,ERIE,-373
02/02/2026,short_positions,CTMX,-20021
02/02/2026,short_positions,MSTR,-1576
02/02/2026,short_positions,AOS,-5238
02/02/2026,short_positions,SIG,-58
02/02/2026,short_positions,ANGO,-2210
02/02/2026,short_positions,MOD,-1424
02/02/2026,short_positions,ATEX,-15
02/02/2026,short_positions,JJSF,-978
02/02/2026,short_positions,EBS,-6940
02/02/2026,short_positions,MP,-412
02/02/2026,short_positions,PRMB,-5799
02/02/2026,short_positions,CPB,-459
02/02/2026,short_positions,EBC,-865
02/02/2026,short_positions,BH/A,-182
02/02/2026,short_positions,PRAA,-20026
02/02/2026,short_positions,WPC,-8695
02/02/2026,short_positions,SCSC,-26
02/02/2026,short_positions,THR,-21
02/02/2026,short_positions,RITM,-9483
02/02/2026,short_positions,VITL,-43
02/02/2026,short_positions,META,-111
02/02/2026,short_positions,RXO,-6429
02/02/2026,short_positions,ACHC,-1667
02/02/2026,short_positions,SEI,-15
02/02/2026,short_positions,NE,-865
02/02/2026,short_positions,PINS,-1761
02/02/2026,short_positions,AVNS,-2507
02/02/2026,short_positions,LZB,-24
02/02/2026,short_positions,TPL,-892
02/02/2026,short_positions,OVV,-8306
02/02/2026,short_positions,HFWA,-12584
02/02/2026,short_positions,INSM,-1228
02/02/2026,short_positions,PLPC,-2
02/02/2026,short_positions,BLFS,-45
02/02/2026,short_positions,NFLX,-3572
02/02/2026,short_positions,LMT,-202
02/02/2026,short_positions,WGS,-2267
02/02/2026,short_positions,SMTC,-2271
02/02/2026,short_positions,FMBH,-7885
02/02/2026,short_positions,RSI,-11998
02/02/2026,short_positions,GOGO,-23337
02/02/2026,short_positions,A,-64
02/02/2026,short_positions,KOS,-184414
02/02/2026,short_positions,VLY,-3454
02/02/2026,short_positions,OMER,-764
02/02/2026,short_positions,APEI,-2261
02/02/2026,short_positions,NOV,-5509
02/02/2026,short_positions,MCO,-533
02/02/2026,short_positions,LYV,-186
02/02/2026,short_positions,CLH,-2763
02/02/2026,short_positions,MTUS,-395
02/02/2026,short_positions,BKR,-140
02/02/2026,short_positions,WDFC,-379
02/02/2026,short_positions,ROST,-1023
02/02/2026,short_positions,PNR,-2993
02/02/2026,short_positions,LOB,-51
02/02/2026,short_positions,WEC,-772
02/02/2026,short_positions,BGS,-6282
02/02/2026,short_positions,JXN,-3378
02/02/2026,short_positions,GTLB,-1144
02/02/2026,short_positions,MAR,-337
02/02/2026,short_positions,ILMN,-1003
02/02/2026,short_positions,EGY,-319
02/02/2026,short_positions,SM,-4083
02/02/2026,short_positions,TXRH,-3107
02/02/2026,short_positions,WD,-100
02/02/2026,short_positions,PR,-5730
02/02/2026,short_positions,TEX,-1389
02/02/2026,short_positions,MWA,-791
02/02/2026,short_positions,RMD,-1772
02/02/2026,short_positions,CC,-8965
02/02/2026,short_positions,HIMS,-417
02/02/2026,short_positions,VSAT,-2618
02/02/2026,short_positions,ACI,-3245
02/02/2026,short_positions,MNKD,-7201
02/02/2026,short_positions,AMBA,-2317
02/02/2026,short_positions,RLJ,-2604
02/02/2026,short_positions,TNET,-887
02/02/2026,short_positions,CRWD,-540
02/02/2026,short_positions,SLNO,-48
02/02/2026,short_positions,DXC,-4256
02/02/2026,short_positions,MEDP,-55
02/02/2026,short_positions,IESC,-367
02/02/2026,short_positions,MGRC,-786
02/02/2026,short_positions,NN,-253
02/02/2026,short_positions,AWK,-16
02/02/2026,short_positions,ASIX,-20695
02/02/2026,short_positions,COIN,-836
02/02/2026,short_positions,COLB,-4759
02/02/2026,short_positions,HTZ,-124
02/02/2026,short_positions,LAND,-56
02/02/2026,short_positions,FELE,-394
02/02/2026,short_positions,BSY,-6556
02/02/2026,short_positions,DCI,-982
02/02/2026,short_positions,GOLF,-1439
02/02/2026,short_positions,ICLR,-544
02/02/2026,short_positions,MPWR,-490
02/02/2026,short_positions,NVST,-15609
02/02/2026,short_positions,BANF,-711
02/02/2026,short_positions,RGTI,-695
02/02/2026,short_positions,FAST,-18
02/02/2026,short_positions,YETI,-2858
02/02/2026,short_positions,NOC,-971
02/02/2026,short_positions,HNI,-194
02/02/2026,short_positions,TDW,-1688
02/02/2026,short_positions,YUM,-115
02/02/2026,short_positions,ORC,-200
02/02/2026,short_positions,LASR,-1599
02/02/2026,short_positions,ED,-1879
02/02/2026,short_positions,CF,-1818
02/02/2026,short_positions,FHI,-288
02/02/2026,short_positions,TPB,-2505
02/02/2026,short_positions,ABCB,-4590
02/02/2026,short_positions,GIS,-2835
02/02/2026,short_positions,ON,-1290
02/02/2026,short_positions,MDB,-1081
02/02/2026,short_positions,HSTM,-896
02/02/2026,short_positions,AME,-1632
02/02/2026,short_positions,MDLZ,-8891
02/02/2026,short_positions,USPH,-16
02/02/2026,short_positions,VNO,-10366
02/02/2026,short_positions,CME,-1780
02/02/2026,short_positions,CAR,-3
02/02/2026,short_positions,SNA,-17
02/02/2026,short_positions,GOOG,-751
02/02/2026,short_positions,CLB,-232
02/02/2026,short_positions,PEP,-4226
02/02/2026,short_positions,JACK,-20
02/02/2026,short_positions,VISN,-13218
02/02/2026,short_positions,RPM,-1281
02/02/2026,short_positions,SYF,-6165
02/02/2026,short_positions,USNA,-68
02/02/2026,short_positions,ALV,-106
02/02/2026,short_positions,BLDR,-437
02/02/2026,short_positions,VICI,-2669
02/02/2026,short_positions,FHB,-2911
02/02/2026,short_positions,FDS,-936
02/02/2026,short_positions,EYE,-39
02/02/2026,short_positions,FCF,-4702
02/02/2026,short_positions,LUMN,-15535
02/02/2026,short_positions,RGEN,-1763
02/02/2026,short_positions,ADT,-38587
02/02/2026,short_positions,TEAM,-769
02/02/2026,short_positions,BCPC,-1505
02/02/2026,short_positions,SHW,-1596
02/02/2026,short_positions,KNSL,-490
02/02/2026,short_positions,CAG,-7087
02/02/2026,short_positions,BY,-4898
02/02/2026,short_positions,VVV,-42
02/02/2026,short_positions,CECO,-1840
02/02/2026,short_positions,KNSA,-3871
02/02/2026,short_positions,FANG,-1169
02/02/2026,short_positions,PJT,-2638
02/02/2026,short_positions,MBWM,-1260
02/02/2026,short_positions,JKHY,-870
02/02/2026,short_positions,TPG,-6440
02/02/2026,short_positions,XPRO,-128
02/02/2026,short_positions,AMSF,-25
02/02/2026,short_positions,AMRC,-7131
02/02/2026,short_positions,KEYS,-2411
02/02/2026,short_positions,BRBR,-14
02/02/2026,short_positions,WMT,-3321
02/02/2026,short_positions,VLO,-211
02/02/2026,short_positions,KRG,-5049
02/02/2026,short_positions,HHH,-1284
02/02/2026,short_positions,TCMD,-3654
02/02/2026,short_positions,HD,-1161
02/02/2026,short_positions,MSA,-2288
02/02/2026,short_positions,KOP,-1434
02/02/2026,short_positions,CRVL,-42
02/02/2026,short_positions,RS,-1780
02/02/2026,short_positions,VC,-3150
02/02/2026,short_positions,PTEN,-727
02/02/2026,short_positions,ITGR,-1392
02/02/2026,short_positions,HIG,-4411
02/02/2026,short_positions,SLAB,-983
02/02/2026,short_positions,VYX,-1504
02/02/2026,short_positions,INTA,-8746
02/02/2026,short_positions,SNDR,-552
02/02/2026,short_positions,MC,-772
02/02/2026,short_positions,CCNE,-5069
02/02/2026,short_positions,GPRO,-3701
02/02/2026,short_positions,TWST,-1683
02/02/2026,short_positions,INDB,-1150
02/02/2026,short_positions,YORW,-91
02/02/2026,short_positions,RIVN,-1308
02/02/2026,short_positions,SIGA,-45
02/02/2026,short_positions,ACLS,-173
02/02/2026,short_positions,PFG,-2632
02/02/2026,short_positions,IPGP,-11
02/02/2026,short_positions,CMP,-4847
02/02/2026,short_positions,NBHC,-319
02/02/2026,short_positions,LTC,-2022
02/02/2026,short_positions,MTW,-17759
02/02/2026,short_positions,RRR,-760
02/02/2026,short_positions,BMI,-6
02/02/2026,short_positions,LBRT,-25
02/02/2026,short_positions,SSD,-11
02/02/2026,short_positions,PSN,-182
02/02/2026,short_positions,FA,-8031
02/02/2026,short_positions,AKR,-145
02/02/2026,short_positions,COLM,-967
02/02/2026,short_positions,INVX,-36
02/02/2026,short_positions,DBI,-11403
02/02/2026,short_positions,APLE,-2358
02/02/2026,short_positions,ECVT,-255
02/02/2026,short_positions,REXR,-1712
02/02/2026,short_positions,FUN,-7107
02/02/2026,short_positions,SNOW,-29
02/02/2026,short_positions,STBA,-888
02/02/2026,short_positions,SHOO,-42
02/02/2026,short_positions,WTFC,-1643
02/02/2026,short_positions,MMYT,-302
02/02/2026,short_positions,PMT,-7044
02/02/2026,short_positions,JOE,-3659
02/02/2026,short_positions,CYRX,-3214
02/02/2026,short_positions,UBSI,-9215
02/02/2026,short_positions,EPR,-5408
02/02/2026,short_positions,ELS,-3007
02/02/2026,short_positions,HLNE,-410
02/02/2026,short_positions,APAM,-34
02/02/2026,short_positions,BWXT,-986
02/02/2026,short_positions,FBK,-3597
02/02/2026,short_positions,NSIT,-24
02/02/2026,short_positions,WINA,-28
02/02/2026,short_positions,WFC,-995
02/02/2026,short_positions,CCC,-2731
02/02/2026,short_positions,SBAC,-693
02/02/2026,short_positions,BSX,-732
02/02/2026,short_positions,RHI,-3817
02/02/2026,short_positions,LAB,-2953
02/02/2026,short_positions,MIDD,-747
